Address,SQFT,Price,Parish,Region,BR,BTH
26 CHAMPLAIN AVENUE,2017,11500000,St. Andrew,19,4,3
3 NEPHRITE PLACE,1500,14000000,St. Andrew,19,3,3
SUNDOWN CRESCENT,1800,11300000,St. Andrew,10,5,2
HUGHENDEN AVENUE,2000,14500000,St. Andrew,20,5,4
BOMBAY AVENUE,1496,13000000,St. Andrew,19,3,3
32 HUGHENDEN AVE,10701,14000000,St. Andrew,20,6,4
43 ST ANDREW PARK,1450,14000000,St. Andrew,10,3,2
WESTLAKE AVENUE,2000,16100000,St. Andrew,10,5,3
12 MANSFIELD AVENUE,61075,13700000,St. Andrew,20,4,2
"35 WHITNEY DRIVE, KGN 20",1800,13500000,St. Andrew,20,4,2
16 ORCHARD AVE. HUGHENDE...,1600,13000000,St. Andrew,10,3,2
33 MANSFIELD AVENUE,5850,1500000,St. Andrew,20,3,3
ROBINSON ROAD HUGHENDEN,1585,16000000,St. Andrew,20,4,3
8 MOLYNES PLACE,950,17000000,St. Andrew,19,3,2
WALTHAM PARK,6709,14500000,St. Andrew,11,8,3
BAY VIEW CRESCENT,2500,16300000,St. Andrew,17,4,3
79 DORADO DRIVE,1200,14500000,St. Andrew,17,3,2
32 COLEYVILLE CRESCENT,2000,17500000,St. Andrew,20,4,3
"19 NEPTUNE AVENUE, HARBOU...",1503,13500000,St. Andrew,17,3,2
7 LYNG RD,3600,14000000,St. Andrew,9,4,4
31 KILLARNEY AVENUE,2800,13500000,St. Andrew,20,4,3
1 STERLING CASTLE,32670,14500000,St. Andrew,19,6,5
GROVEDALE DRIVE,1267,14800000,St. Andrew,10,4,2
FRIENDSHIP PARK ROAD #1...,2236,14000000,St. Andrew,3,6,4
6 GRASSO CLOSE,1688,14000000,St. Andrew,19,3,2
WATERHOUSE DRIVE,2295,13000000,St. Andrew,20,6,3
4 MOLYNES MEWS,2318,14000000,St. Andrew,10,5,3
LAWRENCE DRIVE,5590,15500000,St. Andrew,8,5,4
20 WALKERS CRESCENT,3900,15250000,St. Andrew,11,7,5
PALM CLOSE,2256,12000000,St. Andrew,17,4,2
ABBERVILLE AVENUE,7910,15000000,St. Andrew,20,5,3
"1 SETTLEMENT ROAD, STONY",1747,15000000,St. Andrew,9,5,3
17 CASCADE WAY,1500,15000000,St. Andrew,19,3,3
23 ABERNETHY DRIVE,1500,15500000,St. Andrew,20,3,3
22 ALDENE DR,1800,16000000,St. Andrew,20,3,2
7B HILLSTONE HEIGHTS,1694,13500000,St. Andrew,9,3,2
60 HILLVIEW TERRACE,2200,13500000,St. Andrew,19,5,3
4 BRYNMAWR ROAD,2600,15500000,St. Andrew,8,5,3
"28 EAST OAKRIDGE, KINGSTO...",2306,15000000,St. Andrew,8,3,3
"FAIRLANE DR, CASSIA PARK",2000,15000000,St. Andrew,19,4,3
63 MOLYNES ROAD,4000,14000000,St. Andrew,10,6,3
LORRIANE AVENUE,3000,15000000,St. Andrew,10,5,3
CHAMPLAIN AVE.,2000,15000000,St. Andrew,20,4,3
DAYTONA DRIVE,1500,14250000,St. Andrew,20,5,2
13 MAYNARD AVENUE,1200,13500000,St. Andrew,20,3,2
COWPER DRIVE,2200,14900000,St. Andrew,20,5,4
SHERITON PARK CRESCENT,850,14200000,St. Andrew,10,3,2
6A WOOLWICH ROAD,4777,12500000,St. Andrew,3,4,3
SUNSET DRIVE,1600,15000000,St. Andrew,10,4,3
ASHBURY AVENUE,11700,15600000,St. Andrew,3,6,5
6 SHALIMAR AVENUE,3400,12500000,St. Andrew,3,6,5
SATURN AVENUE,3200,15500000,St. Andrew,17,4,3
1 HERA PLACE,2300,16000000,St. Andrew,19,3,2
4 EMBERS WAY,2300,13750000,St. Andrew,20,3,3
RIDGEWAY ROAD,3150,15800000,St. Andrew,19,3,2
COLEYVILLE AVENUE,2118,17000000,St. Andrew,20,4,3
GARFIELD AVENUE,5857,14000000,St. Andrew,20,4,2
9 MERLGROVE AVENUE,2000,13000000,St. Andrew,20,4,3
NORCROSS AVENUE,1516,16000000,St. Andrew,19,3,2
MACKVILLE TERRACE,2064,17000000,St. Andrew,19,4,2
AQUALITAVALE AVENUE,1800,15100000,St. Andrew,20,4,3
MOTTLEY AVENUE,1500,16000000,St. Andrew,20,3,2
3 KINGS AVENUE,6515,15000000,St. Andrew,10,3,2
"1 DAYTON AVE, MOLYNES",2500,18300000,St. Andrew,10,4,3
30 QUEENSBOROUGH DRV,5660,15500000,St. Andrew,19,3,3
EMBERS WAY,1500,15800000,St. Andrew,19,3,2
HUGH MILLER AVENUE,9732,15600000,St. Andrew,20,3,3
"HUGHENDEN, VILMA",2200,15200000,St. Andrew,20,4,2
COLLISTON DRIVE,7000,15900000,St. Andrew,10,5,3
2 MAYFIELD MEWS,2000,16500000,St. Andrew,20,4,4
60 PATRICK DRIVE,2300,16500000,St. Andrew,20,8,4
132 WEYMOUTH DRIVE,2758,14000000,St. Andrew,20,6,3
FESTIVAL ROAD,4260,16500000,St. Andrew,8,3,2
21 CARIBBEAN TERRACE,5351,14000000,St. Andrew,17,6,6
15 HARBOUR DRIVE,2800,16000000,St. Andrew,17,8,5
WELLSIDE DRIVE,5158,13000000,St. Andrew,11,5,4
MARINE TERRACE,2387,17000000,St. Andrew,17,5,3
CREIGHTON RD.,1000,13746128,St. Andrew,21,3,1
BRETTFORD AVENUE,2036,16650000,St. Andrew,10,3,2
MEADOWBROOK AVENUE,2600,16800000,St. Andrew,19,6,3
SUNRISE CRESCENT,2500,15000000,St. Andrew,19,4,4
43 RIVERSIDE DRIVE,4066,17000000,St. Andrew,19,4,4
DEANNA PLACE,1870,15000000,St. Andrew,19,4,2
ROEHAMPTON CLOSE,7555,15500000,St. Andrew,8,3,3
BOWERBANK AVENUE,,17000000,St. Andrew,20,5,3
18 CASSIADENE AVE,4759,12000000,St. Andrew,10,6,3
60 BRENTWOOD TERRACE,,16250000,St. Andrew,21,,
"5 RETREAT DRIVE, 8 MILES",6184,15500000,St. Andrew,17,6,5
PARKIN CLOSE,2376,19000000,St. Andrew,8,4,2
6 RIGHTON CRESCENT,4453,15400000,St. Andrew,20,5,2
6 FAIRLANE DRIVE,2704,17500000,St. Andrew,10,5,3
7 CHARLTON AVENUE,1500,17000000,St. Andrew,8,7,4
PORTVIEW AVENUE,1500,17000000,St. Andrew,20,3,2
BROWNING AVENUE,1737,17400000,St. Andrew,20,4,2
"8 AMETHYST CLOSE,",3300,15700000,St. Andrew,21,5,4
ALPINE ROAD,10346,16000000,St. Andrew,21,3,3
3 FOREST VIEW CLOSE,3264,16500000,St. Andrew,19,3,3
17 MEADOWLAND DRIVE,2000,13500000,St. Andrew,19,4,3
32 ALPHONSO AVE.,1800,17000000,St. Andrew,10,4,2
QUEENSBURY,1700,17000000,St. Andrew,19,3,3
RENFIELD DRIVE,2000,16000000,St. Andrew,20,5,3
ROSEWELL TERRACE,5582,16000000,St. Andrew,8,3,2
15 SHAKER WAY,1800,17300000,St. Andrew,19,3,2
TEWFIX DRIVE,8358,16000000,St. Andrew,10,4,3
50 FAVORITA AVENUE,,15500000,St. Andrew,19,4,3
15 RENFIELD DRIVE,2380,15600000,St. Andrew,20,6,3
CORONA CRESCENT,1824,15500000,St. Andrew,20,4,3
"STARS WAY, HUGHENDEN",1691,16500000,St. Andrew,19,4,2
WILLIAM PLACE,1500,17500000,St. Andrew,19,4,2
2 ATHENA DRIVE,1600,16500000,St. Andrew,20,3,2
SILVER ROAD,1200,17500000,St. Andrew,20,3,2
8 WICKHAM DRIVE,1200,16000000,St. Andrew,8,3,2
9 POINT VIEW CLOSE,4500,16300000,St. Andrew,9,4,4
FLEMINGTON DRIVE,2400,15750000,St. Andrew,19,3,3
6 SEATONHURST DRIVE,2100,16600000,St. Andrew,5,4,2
17 CAMROSE DRIVE,2550,16500000,St. Andrew,17,3,4
85 ARIES AVENUE,14800,15000000,St. Andrew,19,9,7
"PAMELA DRIVE,",14505,15680000,St. Andrew,19,5,3
11 ANDREA CLOSE,2000,17000000,St. Andrew,8,3,2
3A WATERLOO AVENUE,1200,15600000,St. Andrew,10,2,2
WOODHAVEN AVENUE,14000,17000000,St. Andrew,19,3,2
7 KINGS AVENUE,2800,16500000,St. Andrew,10,6,4
10 BLISSETT AVENUE,2700,15500000,St. Andrew,20,7,3
TUNBRIDGE DRIVE,2000,17500000,St. Andrew,19,4,2
BLISSETT AVENUE,3000,18000000,St. Andrew,20,5,6
10 HAYLET AVENUE,1750,16600000,St. Andrew,19,4,3
21 TERRACE,1875,15200000,St. Andrew,21,3,2
EAST KIRKLAND HGTS,1800,18000000,St. Andrew,19,3,3
MONTGOMERY AVENUE,1800,1800000,St. Andrew,10,3,2
STEEL ROAD,3000,17000000,St. Andrew,9,6,4
"LIPSCOMBE AVE, STONY HIL...",2908,16000000,St. Andrew,9,5,4
"28 MARATHON DRIVE, HUGHEN...",1800,18000000,St. Andrew,10,5,2
"27 ANTRIM ROAD, VINEYARD",4000,18000000,St. Andrew,3,4,3
ABBERVILLE AVENUE,2593,22000000,St. Andrew,20,5,3
WEYMOUTH CRESCENT,5500,17000000,St. Andrew,20,4,2
23 CHARLTON AVENUE,1300,18000000,St. Andrew,8,2,1
16 MEADOWBROOK MAIN,1905,19700000,St. Andrew,19,4,3
RIDGEWAY ROAD,3150,16500000,St. Andrew,19,3,3
MELNOCK CRESCENT,2700,16500000,St. Andrew,9,5,3
98 HARBOUR DRIVE,2500,19000000,St. Andrew,17,6,5
65 RIDGEWAY ROAD,1000,18500000,St. Andrew,19,3,2
19 PORTVIEW AVENUE,1400,18400000,St. Andrew,20,3,2
4 OLD GOLDEN SPRING ROAD,3600,18000000,St. Andrew,9,4,4
3 HARRAD CREST.PTRICK CI...,863,18500000,St. Andrew,20,10,6
HIGHLAND AVENUE,2501,18500000,St. Andrew,19,6,3
70 HUGHENDEN AVENUE,2825,17600000,St. Andrew,20,6,4
LORRAINE AVENUE,,16800000,St. Andrew,10,5,3
